ndvi,evi,moisture,days_enrolled,soc_tons_per_ha,district,state,land_use
0.72,0.65,38.2,730,22.4,Nashik,Maharashtra,Vineyard
0.61,0.55,42.1,1095,24.8,Pune,Maharashtra,Sugarcane
0.45,0.41,28.6,365,18.2,Nagpur,Maharashtra,Cotton
0.38,0.34,22.1,180,16.5,Amravati,Maharashtra,Cotton
0.55,0.50,35.0,548,20.1,Aurangabad,Maharashtra,Mixed
0.68,0.62,41.5,912,23.6,Solapur,Maharashtra,Soybean
0.41,0.37,19.8,90,15.3,Wardha,Maharashtra,Cotton
0.78,0.71,44.8,1460,27.2,Ratnagiri,Maharashtra,Coconut
0.52,0.47,33.2,456,19.7,Jalgaon,Maharashtra,Banana
0.63,0.57,39.6,820,22.9,Kolhapur,Maharashtra,Sugarcane
0.71,0.64,40.1,1095,24.1,Satara,Maharashtra,Rice
0.48,0.43,25.4,275,17.4,Osmanabad,Maharashtra,Soybean
0.57,0.52,36.8,640,21.3,Sangli,Maharashtra,Sugarcane
0.43,0.39,21.2,150,15.8,Akola,Maharashtra,Cotton
0.66,0.60,40.9,876,23.1,Dhule,Maharashtra,Maize
0.35,0.31,17.5,60,14.2,Nandurbar,Maharashtra,Mixed
0.74,0.67,43.2,1200,25.6,Sindhudurg,Maharashtra,Paddy
0.49,0.44,27.8,320,18.4,Beed,Maharashtra,Soybean
0.59,0.54,38.1,712,21.8,Nanded,Maharashtra,Sorghum
0.65,0.59,41.2,950,23.8,Latur,Maharashtra,Cotton
0.82,0.75,47.6,1825,29.4,Palghar,Maharashtra,Paddy
0.44,0.40,23.5,200,16.8,Hingoli,Maharashtra,Soybean
0.70,0.63,42.8,1080,24.4,Yavatmal,Maharashtra,Cotton
0.53,0.48,31.9,485,19.9,Parbhani,Maharashtra,Sorghum
0.46,0.42,26.1,245,17.1,Buldhana,Maharashtra,Cotton
0.67,0.61,40.5,935,23.4,Jalna,Maharashtra,Maize
0.39,0.35,20.3,110,15.5,Washim,Maharashtra,Cotton
0.76,0.69,44.1,1380,26.5,Thane,Maharashtra,Mixed
0.56,0.51,35.9,600,20.8,Raigad,Maharashtra,Paddy
0.62,0.56,38.8,785,22.5,Ahmednagar,Maharashtra,Wheat
0.73,0.66,42.5,1150,25.1,Chandrapur,Maharashtra,Paddy
0.47,0.43,24.8,255,17.2,Gadchiroli,Maharashtra,Paddy
0.64,0.58,40.0,895,23.0,Gondia,Maharashtra,Paddy
0.50,0.45,29.5,380,19.1,Bhandara,Maharashtra,Paddy
0.69,0.63,41.8,1020,24.0,Nagpur,Maharashtra,Orange
0.80,0.73,46.2,1640,28.5,Ratnagiri,Maharashtra,Mango
0.36,0.32,18.2,75,14.5,Amravati,Maharashtra,Cotton
0.58,0.53,37.5,670,21.5,Nashik,Maharashtra,Onion
0.75,0.68,43.8,1280,26.1,Pune,Maharashtra,Wheat
0.42,0.38,22.8,165,16.2,Solapur,Maharashtra,Jowar
0.60,0.54,39.0,755,22.1,Kolhapur,Maharashtra,Wheat
0.77,0.70,44.5,1420,27.0,Sindhudurg,Maharashtra,Coconut
0.51,0.46,30.8,420,19.4,Osmanabad,Maharashtra,Tur
0.68,0.62,41.0,990,23.7,Latur,Maharashtra,Tur
0.45,0.41,24.0,210,16.9,Nanded,Maharashtra,Jowar
0.71,0.64,42.2,1110,24.5,Jalgaon,Maharashtra,Cotton
0.54,0.49,33.8,520,20.3,Dhule,Maharashtra,Wheat
0.79,0.72,45.5,1560,28.0,Thane,Maharashtra,Paddy
0.40,0.36,21.0,130,15.6,Buldhana,Maharashtra,Soybean
0.66,0.60,40.8,915,23.3,Aurangabad,Maharashtra,Wheat
0.34,0.30,16.9,45,13.8,Washim,Maharashtra,Cotton
0.72,0.65,42.6,1160,25.2,Raigad,Maharashtra,Mixed
0.48,0.44,26.5,290,17.6,Beed,Maharashtra,Bajra
0.63,0.57,39.8,830,22.8,Jalna,Maharashtra,Wheat
0.55,0.50,35.5,575,20.6,Wardha,Maharashtra,Cotton
